t x y z s fx fy fz
0 -0.00499105 0.0611366 0.56337 1 -0.00913098 -0.020296 -0.0262003
0.097995 -0.0100761 0.0498338 0.548779 0.949004 -0.0492815 -0.216624 -0.0565686
0.130227 -0.013701 0.0346943 0.542 0.932806 -0.0297234 -0.0368793 -0.0230441
0.229843 -0.0257875 0.0101877 0.52772 0.884471 -0.0461136 -0.08205 -0.0360559
1.7788 0.0270517 0.0731513 0.706831 0.3867 -0.0499637 -0.0521192 0.190872
2.11302 0.0444016 0.0703208 0.657756 0.32348 -0.0462083 -0.0632118 0.130871
2.43009 0.0293455 0.06951 0.574992 0.273083 -0.0999401 -0.142226 0.0481048
2.53453 0.00659635 0.0230375 0.547632 0.258267 -0.105225 -0.143342 0.0290356
3.1349 0.0148433 0.0371193 0.536578 0.187414 -0.0805923 -0.107692 0.0518061
3.33749 0.0468001 0.0434438 0.564237 0.168193 -0.0860083 -0.0543815 0.266752
3.43607 0.0424556 0.0741354 0.681978 0.159566 -0.0734488 -0.0574151 0.261055
4.17024 0.0370867 0.0256021 0.504375 0.107804 -0.0829644 -0.130502 0.00655183
4.63431 0.0422519 0.0679377 0.561435 0.0841369 -0.201318 -0.303092 -0.158025
4.67129 0.0330543 0.0538136 0.546737 0.0824914 -0.0976738 -0.127348 0.0571981
4.80688 0.0154816 0.014533 0.528739 0.0767283 -0.11378 -0.158847 0.0373948
5.31395 0.050691 0.0446967 0.576357 0.0585238 -0.0763069 -0.115373 0.0916342
5.80582 -0.00239537 0.0162768 0.518082 0.0450021 -0.138988 -0.150267 0.025155
7.10234 0.0474876 0.0721591 0.581971 0.0225155 -0.088786 -0.0938474 0.0876307
7.38084 0.023675 0.0627884 0.523535 0.0194034 -0.114166 -0.106088 0.0289456
7.90616 0.0152761 0.0382856 0.519356 0.0146562 -0.112745 -0.12363 0.0341244
8.44799 0.11812 0.152647 0.473111 0.0109732 -0.0210536 -0.0282567 -0.000679653
8.56958 0.121913 0.149635 0.476105 0.0102832 0.0644666 0.101928 0.0184099
