t x y z s fx fy fz
0 0.206753 0.239207 0.836642 1 0.000355149 -0.000878916 0.000630012
0.172044 0.207652 0.236981 0.838238 0.873211 0.0615498 0.0398574 0.00770619
0.479111 0.212485 0.235496 0.841425 0.685531 0.154489 0.102534 0.0179319
0.604858 0.213211 0.235152 0.841684 0.620857 0.184655 0.122484 0.0182678
0.668174 0.213203 0.234431 0.840914 0.590639 0.199458 0.131515 0.0206311
0.868037 0.213181 0.227696 0.840301 0.504568 0.240638 0.155884 0.0233654
1.01773 0.214348 0.227733 0.8389 0.448423 0.268674 0.176339 0.0238737
1.10996 0.21529 0.228499 0.83779 0.416989 0.284061 0.187402 0.0242424
1.66875 0.213337 0.231896 0.833203 0.268461 0.350587 0.242168 0.0262211
1.83717 0.211256 0.235902 0.832225 0.235094 0.36047 0.255808 0.0244162
2.0766 0.190684 0.231689 0.819778 0.194669 0.338645 0.27593 -0.00503031
2.11429 0.18534 0.232524 0.815778 0.188973 0.348904 0.268836 0.00315793
2.30746 0.159832 0.233339 0.795284 0.162288 0.310316 0.281016 -0.0213727
2.4081 0.124059 0.236233 0.780152 0.149914 0.287815 0.286873 -0.0337741
3.87244 -0.125734 0.173342 0.750395 0.0472806 0.0950667 0.253392 -0.0368057
3.90424 -0.131714 0.172019 0.750778 0.0461104 0.0806278 0.241191 -0.0402935
3.97583 -0.151253 0.164262 0.753867 0.043581 0.0788766 0.243352 -0.0405545
4.14052 -0.172229 0.156012 0.758284 0.0382768 0.0691999 0.239059 -0.0393993
4.25356 -0.179948 0.151536 0.75784 0.0350145 0.0612294 0.231514 -0.0382741
4.7465 -0.233688 0.0482772 0.776815 0.0237433 0.0148076 0.124339 -0.015593
5.00838 -0.234763 0.0135705 0.789543 0.0193159 0.0176408 0.0930778 -0.00333989
5.21037 -0.245649 -0.0184425 0.795482 0.0164735 0.00689224 0.0603818 0.00122802
5.40964 -0.255133 -0.0528301 0.798346 0.0140794 -0.000584354 0.0281289 0.00315401
