t x y z s fx fy fz
0 0.0127966 -0.0427792 0.795282 1 -0.00172658 0.000233529 -0.000970439
0.335989 -0.0270724 -0.0373868 0.772873 0.531001 0.0987076 -0.0637435 0.0560583
0.467923 -0.041305 -0.0298783 0.763178 0.41414 0.122713 -0.0727136 0.0673067
0.636836 -0.0560313 -0.0241033 0.751926 0.301262 0.145127 -0.0857388 0.076937
0.837289 -0.0728751 -0.0178745 0.739272 0.206507 0.157813 -0.0945552 0.0825353
1.0001 -0.0905478 -0.0143261 0.733963 0.151958 0.157281 -0.100247 0.0893175
1.40879 -0.0907697 -0.015822 0.735259 0.0703619 0.184535 -0.115708 0.106732
1.53577 -0.113196 -0.0144775 0.731086 0.0553908 0.157625 -0.114664 0.1025
1.90386 -0.185519 0.0247406 0.693309 0.0276866 0.0900396 -0.0689739 0.0622094
1.96775 -0.200191 0.0344048 0.684914 0.0245468 0.0774386 -0.0600114 0.0547498
2.07197 -0.220784 0.0483985 0.672864 0.0201709 0.0592428 -0.0469719 0.0436302
