t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.302085 -0.208091 1.04038 1 0.000231993 1.4756e-05 -0.000332432 0 0 0 0.00437255 0.000278117 -0.00626561
0.500453 0.303181 -0.208021 1.03882 0.916791 0.00335138 0.000640958 0.00183621 0.00218826 0.000139185 -0.00313564 -0.00751735 0.00533809 0.0199779
0.936737 0.302704 -0.206944 1.04125 0.849921 0.00503804 0.00190337 0.00570971 -0.00109144 0.00246811 0.00558038 0.00152437 0.000735546 -0.00737116
1.73622 0.302806 -0.204501 1.041 0.739784 0.0074761 0.00500863 0.00830722 0.00012726 0.00305616 -0.000312706 -0.0178506 0.00534364 -0.00927765
2.53656 0.291474 -0.198632 1.03481 0.643823 -0.00616398 0.0140476 0.00507429 -0.0141592 0.00733289 -0.00773797 -0.0907226 0.0518941 0.00195219
2.60449 0.290093 -0.197895 1.03429 0.636274 -0.00331783 0.0134038 0.00359925 -0.0203228 0.0108585 -0.00760534 -0.00487022 0.0194396 -0.020824
3.70447 0.261846 -0.162429 1.00073 0.525673 -0.0280675 0.0496237 -0.0273517 -0.02568 0.0322416 -0.0305113 0.00847212 -0.00928719 0.00121181
4.17249 0.251683 -0.149374 0.986714 0.484654 -0.0375904 0.0655242 -0.0347334 -0.0217149 0.0278951 -0.0299441 -0.00900046 0.0491066 0.100866
4.33999 0.247793 -0.143324 0.984529 0.470764 -0.0444254 0.0797725 -0.0448048 -0.0232225 0.0361206 -0.0130488 -0.0697074 0.188887 -0.0845055
4.72883 0.228223 -0.100719 0.966677 0.440036 -0.062459 0.109931 -0.0601672 -0.0503278 0.109568 -0.0459083 -0.0121788 -0.171436 -0.000480744
4.97276 0.215223 -0.0841929 0.955451 0.421792 -0.0660863 0.142 -0.0710316 -0.0532985 0.067751 -0.0460256 0.159334 0.190866 -0.00430587
5.07231 0.211496 -0.0755565 0.950826 0.414566 -0.0777021 0.144201 -0.0736393 -0.0374365 0.0867521 -0.0464542 -0.0201216 0.0370906 0.0301323
5.47345 0.19324 -0.0347878 0.93704 0.386679 -0.0879046 0.174353 -0.101058 -0.0455082 0.101631 -0.0343668 0.129732 -0.189824 -0.263769
5.54022 0.19078 -0.0288482 0.933569 0.382223 -0.0942733 0.144679 -0.0792802 -0.0368461 0.0889564 -0.0519784 0.0389794 -0.839982 0.239139
5.60821 0.188455 -0.0266828 0.931141 0.377738 -0.100306 0.194756 -0.0939386 -0.0341962 0.0318521 -0.0357211 -0.0378683 0.159027 -0.0214421
6.10856 0.161865 0.0290665 0.9079 0.346313 -0.125746 0.244731 -0.111581 -0.0531435 0.111421 -0.0464496 -0.00175217 -0.0859035 0.0834706
6.41082 0.145642 0.0548967 0.901486 0.32861 -0.158304 0.269007 -0.122301 -0.0536731 0.0854553 -0.0212194 -0.318604 -0.0725228 -0.0507493
6.57772 0.127808 0.0671391 0.896531 0.319226 -0.155618 0.281131 -0.125358 -0.106849 0.0733511 -0.0296896 0.152567 -0.0549307 -0.00628248
6.88581 0.109371 0.0845239 0.886788 0.302602 -0.173458 0.30683 -0.130233 -0.0598444 0.0564276 -0.0316251 0.0753168 0.129257 0.0788627
7.04791 0.101649 0.0970666 0.883733 0.294205 -0.179661 0.305641 -0.132484 -0.047636 0.0773794 -0.018842 0.078686 -0.165405 0.0674575
7.27645 0.0948724 0.106112 0.882951 0.282762 -0.181072 0.335527 -0.132006 -0.0296526 0.0395766 -0.00342475 0.143137 0.290427 0.0584168
7.40815 0.0934499 0.116361 0.883513 0.27637 -0.190467 0.329515 -0.13484 -0.0108014 0.0778261 0.0042688 -0.0424753 -0.080956 -0.0223714
7.86676 0.0795631 0.135026 0.880765 0.255221 -0.202599 0.34305 -0.136895 -0.0302807 0.0406995 -0.00599078 0.0116664 -0.116371 -0.00460746
8.10825 0.0729309 0.138068 0.87905 0.244743 -0.196253 0.36299 -0.135514 -0.0274633 0.0125966 -0.00710345 0.245691 0.248842 0.0494036
8.20812 0.0726387 0.141808 0.878833 0.240536 -0.208968 0.344455 -0.139183 -0.00292563 0.037449 -0.00216941 -0.0321672 -0.213167 -0.026491
8.34401 0.0716472 0.142961 0.878049 0.234929 -0.220128 0.365015 -0.164574 -0.00729671 0.00848259 -0.00576917 -0.219577 0.201104 -0.487536
8.41228 0.0701253 0.144478 0.875383 0.232161 -0.211939 0.344233 -0.12683 -0.0222888 0.0222133 -0.0390566 -0.0128106 -0.242503 0.328581
8.54475 0.0669481 0.143165 0.875975 0.226883 -0.209519 0.35328 -0.139842 -0.0239857 -0.00990979 0.00446885 0.092593 0.00658217 -0.00433227
8.91632 0.0708194 0.140392 0.877037 0.212711 -0.208575 0.349708 -0.138082 0.010419 -0.00746406 0.00285911 -0.0284761 -0.0134752 0.00308595
9.47622 0.0677261 0.131988 0.879605 0.193009 -0.222909 0.340034 -0.136582 -0.0055248 -0.0150088 0.00458693 -0.224422 -0.0259377 -0.0316687
9.5869 0.0643654 0.130009 0.879725 0.189336 -0.202866 0.333772 -0.151759 -0.0303641 -0.0178796 0.0010818 0.2565 -0.10205 -0.316254
9.65366 0.0634815 0.128361 0.878388 0.187154 -0.219283 0.335985 -0.134024 -0.0132389 -0.024693 -0.0200329 -0.066348 -0.0179178 0.0775213
9.84398 0.0585589 0.123012 0.877383 0.181072 -0.238542 0.316247 -0.141919 -0.0258657 -0.028103 -0.00527966 -0.318663 -0.28375 -0.0808324
9.98251 0.04886 0.113674 0.8751 0.17677 -0.233072 0.317063 -0.139765 -0.0700113 -0.067412 -0.0164777 0.0392636 -0.026363 0.0191072
10.28 0.0315057 0.0912835 0.871889 0.167872 -0.25147 0.295905 -0.143673 -0.0583296 -0.0752555 -0.0107929 -0.00504627 0.00953108 -0.00890053
10.7146 0.00520714 0.0603825 0.865519 0.155675 -0.283342 0.25681 -0.1511 -0.0605224 -0.071114 -0.0146604 -0.113197 -0.152662 -0.0295608
10.8518 -0.0052275 0.0477518 0.862951 0.152011 -0.276484 0.263221 -0.14753 -0.0760532 -0.0920595 -0.0187162 0.236863 0.241322 0.0907887
11.0133 -0.0113322 0.0391779 0.862296 0.147807 -0.292701 0.24619 -0.151443 -0.0377915 -0.0530776 -0.00405068 -0.0205748 0.0159348 0.0021435
11.3802 -0.0279654 0.0218505 0.861099 0.138688 -0.311588 0.223757 -0.151723 -0.0453396 -0.0472318 -0.00326431 -0.0554054 -0.090703 0.0126933
11.5528 -0.0374469 0.0109897 0.860914 0.134592 -0.322835 0.210063 -0.15026 -0.0549071 -0.0628945 -0.00107241 -0.0748351 -0.117964 0.0376105
11.7479 -0.0510069 -0.00577001 0.862136 0.13011 -0.329809 0.201036 -0.149611 -0.0695066 -0.0859079 0.00626499 0.0714164 0.0662964 0.0117802
12.1126 -0.0668574 -0.0282833 0.865988 0.122128 -0.349122 0.175916 -0.140548 -0.0434602 -0.0617289 0.0105614 -0.0422059 -0.0240886 0.0980013
12.2175 -0.0718789 -0.0350213 0.868173 0.119925 -0.352477 0.168194 -0.1453 -0.0478861 -0.0642549 0.0208382 -0.00456104 -0.0385172 -0.0513851
12.5482 -0.0882135 -0.0604825 0.869444 0.113234 -0.368719 0.146973 -0.140087 -0.0493944 -0.0769925 0.00384522 -0.00399318 0.0624533 0.0475691
12.7485 -0.0982682 -0.0733993 0.872123 0.109364 -0.377853 0.139871 -0.14939 -0.0501943 -0.0644821 0.013374 0.012559 0.150715 -0.196633
12.8481 -0.103141 -0.0783248 0.871506 0.107491 -0.389527 0.118356 -0.136252 -0.0489441 -0.0494784 -0.00620079 -0.118802 -0.187363 0.0945158
13.0838 -0.121279 -0.100399 0.875296 0.103181 -0.408697 0.0898315 -0.144117 -0.0769484 -0.0936441 0.0160787 -0.0934259 -0.234756 -0.16528
13.1571 -0.127423 -0.108527 0.875587 0.101876 -0.399728 0.11216 -0.137718 -0.0837984 -0.110857 0.00396022 0.202249 0.36822 -0.0304869
13.3804 -0.136051 -0.11492 0.874951 0.098002 -0.427462 0.0792154 -0.130454 -0.0386321 -0.0286253 -0.00284814 -0.236168 -0.271093 0.127584
13.5879 -0.154232 -0.132529 0.879852 0.094535 -0.429139 0.0792404 -0.133835 -0.087632 -0.0848715 0.0236228 0.155577 0.155873 -0.0752097
13.9484 -0.165604 -0.142867 0.878593 0.0887998 -0.448639 0.059913 -0.135292 -0.0315413 -0.0286741 -0.00349278 -0.0953718 -0.108654 -0.0366294
