t x y z s fx fy fz
0 0.237009 0.244224 0.79018 1 -0.000637536 -0.0102993 -0.0121738
0.377717 0.233308 0.184433 0.719506 0.868003 0.0694004 0.0149923 -0.0264441
0.507045 0.236194 0.18506 0.717375 0.826934 0.0890249 0.0176137 -0.0367962
0.840184 0.238436 0.188375 0.712161 0.729874 0.140413 0.0624357 -0.020437
1.13821 0.23856 0.187081 0.709568 0.652739 0.179897 0.0952888 -0.00596107
1.30426 0.238338 0.186795 0.708506 0.613355 0.200086 0.111884 0.00151569
1.78341 0.238224 0.183602 0.706914 0.512536 0.247074 0.146472 0.0214193
1.87443 0.236589 0.180876 0.706469 0.495346 0.260366 0.159283 0.0253564
1.97497 0.235972 0.179424 0.706136 0.477028 0.26496 0.159535 0.0259159
2.10891 0.233415 0.174617 0.70363 0.453675 0.274626 0.166561 0.0325584
2.27551 0.2291 0.168146 0.703506 0.426214 0.28232 0.167635 0.0360977
2.57337 0.212335 0.139677 0.69884 0.381193 0.284817 0.151248 0.0402169
2.90535 0.177159 0.0752784 0.689847 0.336598 0.275801 0.094802 0.0469296
3.00818 0.167982 0.0509813 0.689746 0.323873 0.272539 0.0899173 0.0452464
3.34533 0.146544 0.00602267 0.687425 0.28543 0.27129 0.0624717 0.0505755
3.80444 0.117315 -0.064338 0.67942 0.24031 0.265335 -0.00624052 0.0644331
3.87629 0.112756 -0.079015 0.68079 0.233925 0.266461 0.00290238 0.0574358
4.20832 0.102712 -0.110335 0.684753 0.206554 0.27194 -0.00680911 0.0642916
4.43977 0.097752 -0.114951 0.681161 0.189392 0.271091 -0.0205262 0.068564
4.64362 0.0856625 -0.145039 0.684244 0.175461 0.269844 -0.0317528 0.0705498
4.91683 0.0770549 -0.158712 0.67879 0.158385 0.265245 -0.0436007 0.0667126
5.01153 0.0723348 -0.165502 0.676136 0.152862 0.265286 -0.0437739 0.0672591
5.30959 0.0531496 -0.185036 0.670074 0.136706 0.255426 -0.0542645 0.0647847
5.55974 0.0398958 -0.196572 0.665089 0.124472 0.247788 -0.0611736 0.0649582
5.9077 0.0186297 -0.215438 0.670556 0.109253 0.230269 -0.0755845 0.0734357
6.17571 -0.00922593 -0.236027 0.671988 0.0988125 0.23815 -0.0673665 0.0748243
6.20779 -0.0112924 -0.237479 0.672062 0.0976316 0.157614 -0.122285 0.0858158
6.24002 -0.0155806 -0.240318 0.6725 0.0964595 0.203673 -0.093058 0.0786527
6.74413 -0.0460097 -0.25633 0.676712 0.0798535 0.186345 -0.0980536 0.085751
7.07588 -0.0588488 -0.260436 0.677284 0.0705173 0.166573 -0.0933305 0.0856855
7.14582 -0.0639572 -0.260419 0.676896 0.068693 0.179593 -0.0971142 0.0896555
7.27787 -0.0677876 -0.261307 0.677625 0.0653762 0.169861 -0.0960978 0.0896565
7.514 -0.0822406 -0.263406 0.678077 0.0598392 0.161564 -0.0951939 0.0920607
7.58007 -0.0857806 -0.263897 0.678328 0.0583757 0.15567 -0.0962063 0.0924615
8.17764 -0.13161 -0.279286 0.685925 0.0466626 0.114808 -0.104586 0.0991925
8.31356 -0.141988 -0.280717 0.684775 0.0443452 0.106173 -0.105198 0.0988081
8.61357 -0.162764 -0.279505 0.676119 0.0396292 0.0918057 -0.10182 0.0923293
8.81222 -0.17021 -0.278725 0.672492 0.0367859 0.084534 -0.099463 0.0885535
10.812 -0.277603 -0.218059 0.570758 0.0173853 -0.0109236 -0.0291038 -0.00881825
11.1804 -0.279659 -0.211632 0.566835 0.0151436 -0.0100275 -0.0219593 -0.0109237
11.782 -0.272613 -0.200749 0.566593 0.0120866 -0.00242167 -0.0108614 -0.00936912
11.98 -0.273249 -0.199015 0.567531 0.0112223 -0.0028671 -0.0055831 -0.00689736
12.0522 -0.273646 -0.197778 0.568198 0.0109224 -0.00354961 -0.00674487 -0.00570178
