t x y z s fx fy fz
0 0.0778769 0.096354 0.554268 1 -0.0440257 -0.0928905 -0.0269109
0.054122 0.0663868 0.0721109 0.547245 0.956558 -0.0237236 -0.0514209 -0.0181857
0.475404 0.0442914 0.0433137 0.506747 0.676969 -0.0172478 -0.0362795 -0.0516499
0.695687 0.0433942 0.0379623 0.519413 0.565016 -0.00982534 -0.0314542 -0.0361432
0.889629 0.0426844 0.0377114 0.524167 0.481883 -0.00728888 -0.0263982 -0.0243491
1.29059 0.0190948 0.0267573 0.662136 0.346768 -0.0252058 -0.029319 0.118972
1.6577 0.0130872 0.0287811 0.633773 0.25657 -0.0167576 -0.0198419 0.0363717
1.82566 0.02736 0.0291043 0.549175 0.223536 -0.00750465 -0.017462 -0.0047638
2.028 0.0109555 0.0295965 0.642245 0.189336 -0.0256094 -0.0130052 0.105727
2.3612 0.00348726 0.0478478 0.647489 0.14404 -0.0262902 0.010096 0.0836034
3.16678 0.0382627 0.0363804 0.537127 0.0743663 0.0160775 -0.00169855 -0.0334652
3.66563 0.0295553 0.038911 0.591865 0.0493843 0.0035834 0.00363617 0.0392724
4.13446 -0.00142421 0.0396457 0.677417 0.0336126 -0.0258507 0.00530755 0.121315
4.4636 0.0137382 0.0416975 0.659193 0.0256566 -0.00432833 0.00817621 0.0844956
4.88767 0.0284058 0.045151 0.55 0.0181159 0.00661382 0.0100171 -0.027088
4.99547 0.0285771 0.0437363 0.533029 0.0165823 -0.000163464 0.014105 0.0222063
5.17581 0.00706823 0.0561268 0.700967 0.0143011 -0.0150568 0.024604 0.150462
5.36566 0.015809 0.0554782 0.655278 0.012238 -0.00243216 0.0177963 0.0634006
