t x y z s fx fy fz
0 -0.00322367 0.00738702 0.594307 1 -0.000417192 0.000710734 0.00240884
0.468823 -0.0131002 0.0242128 0.651333 0.62808 -0.0116079 0.00112725 0.0120951
0.638718 0.00752488 0.0324693 0.539806 0.530663 0.00725008 0.0034067 -0.094316
0.906014 0.00361343 0.0355737 0.638845 0.40706 -0.0102978 0.00661497 0.0704745
1.03691 -0.00505239 0.0530425 0.713153 0.35749 -0.0156167 0.0176273 0.114571
1.26946 0.0105337 0.0485493 0.658255 0.283841 0.00353966 0.000503017 0.00413493
1.50505 0.017264 0.036919 0.52428 0.224684 0.00551799 -0.0111451 -0.101417
1.73637 0.0145714 0.0520303 0.664633 0.178614 0.0001695 0.0080238 0.0633937
1.94165 0.0134167 0.0692121 0.644618 0.145704 0.00213671 0.0194706 -0.00499109
2.1718 0.032269 0.0610182 0.530588 0.115962 0.0176925 0.00537541 -0.105235
2.44069 -9.60024e-05 0.0633147 0.665173 0.0888117 -0.0163981 0.00871958 0.0487449
2.57228 0.00260287 0.0645404 0.667012 0.077943 0.00181276 0.00766575 0.00583432
2.70592 0.0304938 0.0624742 0.601222 0.0682654 0.00868776 0.00793295 -0.0642673
2.77298 0.0325857 0.0630543 0.571185 0.0638718 0.0187989 0.00692822 -0.0898849
3.44209 0.0250367 0.0605639 0.597049 0.0328875 0.00750685 0.00231241 -0.0437575
3.54085 0.0240304 0.0606614 0.584691 0.0298183 -0.00226953 0.00526667 -0.011942
3.64488 0.0128276 0.0643074 0.622417 0.0268945 -0.0173091 0.0297668 0.0597304
3.70619 0.00470382 0.0749585 0.658397 0.0253076 -0.0181662 0.025105 0.0534902
3.97253 0.0134276 0.0705598 0.598762 0.0194313 -0.000612257 0.0101423 -0.0431748
4.24226 0.0217145 0.0671261 0.596646 0.0148694 0.0064997 0.00656383 -0.0314454
