t x y z s fx fy fz
0 -0.0495358 0.0768372 0.545506 1 -0.0500027 -0.130984 -0.432968
0.0357478 -0.0532371 0.0671413 0.513456 0.981109 -0.010114 -0.00361388 0.0722338
0.168119 -0.0645697 0.0620634 0.582594 0.914211 -0.0136482 -0.0123634 0.0638784
0.575888 -0.0346937 0.103935 0.628581 0.73547 0.0268475 0.0321224 0.0815274
1.26823 -0.0309307 0.0706419 0.605198 0.508333 0.0439773 -0.0027577 0.0413177
1.36792 -0.0237055 0.0707316 0.601531 0.482002 0.0422918 -0.00785727 0.036316
1.90391 -0.051577 0.0537732 0.568633 0.362125 0.011705 -0.0258904 0.000597405
2.50378 -0.058351 0.054994 0.577757 0.262946 0.00405243 -0.0260483 -0.00680978
2.67315 -0.070277 0.049903 0.550116 0.240228 -0.00396518 -0.0284973 -0.0262371
3.60428 -0.00744648 0.136195 0.733164 0.146177 0.0536938 0.0453341 0.0770649
3.77415 -0.025215 0.116803 0.595371 0.133512 0.0408559 0.031165 -0.0297044
4.47161 -0.0279622 0.11386 0.568524 0.092027 0.0347327 0.0217203 -0.0297326
4.63977 -0.0466559 0.0909548 0.526154 0.0841304 0.020428 0.00317404 -0.0619497
5.2721 -0.0530648 0.0656456 0.542145 0.0600398 0.0217657 -0.0138654 -0.0293312
5.73978 -0.0474443 0.0764349 0.555554 0.0467818 0.0665242 0.0236258 -0.00479355
5.84273 -0.0231149 0.0931796 0.565474 0.0442817 0.0547289 0.0184274 0.0112094
6.17646 -0.0644973 0.0763883 0.671538 0.0370593 0.00495987 -0.00525951 0.1146
6.84179 -0.0185844 0.0723291 0.605844 0.025986 0.0569732 -0.0078837 0.0224284
7.37565 -0.0882886 0.0466948 0.558183 0.0195453 -0.0214415 -0.0343206 -0.0229549
8.54496 -0.0419733 0.117331 0.606801 0.010474 -0.0492618 -0.0569381 -0.0444347
