t x y z s fx fy fz
0 0.254884 -0.229928 0.616577 1 -0.000948047 0.000527762 -0.000502546
0.369937 0.243042 -0.223336 0.6103 0.732736 0.127752 -0.0686938 0.0173653
0.500611 0.237353 -0.219369 0.606086 0.656511 0.162892 -0.0868585 0.0220922
0.639502 0.231286 -0.21511 0.604222 0.584167 0.196752 -0.104693 0.0280847
0.918537 0.226955 -0.21367 0.604037 0.46203 0.258364 -0.139915 0.0403517
1.20669 0.214806 -0.210438 0.60179 0.362638 0.296825 -0.164971 0.0479581
1.53736 0.187327 -0.202919 0.603075 0.274635 0.310471 -0.179769 0.0593338
1.6386 0.175364 -0.198096 0.604148 0.25223 0.276336 -0.165236 0.0568505
1.7079 0.151895 -0.187469 0.602407 0.237956 0.279563 -0.168193 0.0588032
1.97037 0.0875408 -0.160834 0.594741 0.190844 0.242905 -0.155508 0.0547526
2.27247 -0.00355182 -0.111349 0.57884 0.148044 0.191112 -0.133281 0.051824
2.33733 -0.0156889 -0.107671 0.579259 0.140188 0.177166 -0.123 0.0476474
2.47892 -0.0365657 -0.0989439 0.578938 0.124457 0.158252 -0.115392 0.0473254
2.62353 -0.0711652 -0.0835262 0.57584 0.110212 0.13313 -0.104687 0.0455557
3.13674 -0.119723 -0.0570259 0.56921 0.0715932 0.117277 -0.095364 0.0443596
3.30418 -0.130113 -0.0539396 0.569691 0.0621932 0.11209 -0.0951352 0.0457441
4.37197 -0.261173 0.036558 0.5305 0.025347 -0.00189099 -0.0111875 0.00712294
4.73997 -0.280243 0.0546784 0.517721 0.0186028 -0.0115514 0.00168142 -0.00394834
5.10858 -0.280023 0.0583694 0.516366 0.0136462 -0.00517789 0.00084531 -0.00298387
5.2481 -0.279293 0.0584531 0.515808 0.0121361 -0.0043435 0.00101984 -0.00282644
