t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.0865536 0.0933857 0.618099 1 -0.0037914 0.00357344 -0.000977359 0 0 0 -0.0589312 0.0555432 -0.0151915
0.327525 0.0802319 0.0993439 0.616469 0.954194 0.000314558 0.00902523 0.00337439 -0.0193014 0.0181918 -0.00497558 0.0933294 -0.133627 0.111972
0.494281 0.0796085 0.0986617 0.618753 0.931684 -0.00573794 0.0219385 -0.00450558 -0.00373817 -0.00409128 0.0136964 -0.0307063 0.0320085 -0.0585653
0.631031 0.0785231 0.0987008 0.619531 0.913622 -0.00474486 0.0245957 -0.00237948 -0.00793725 0.000285883 0.00568755 -0.00701502 0.00510096 -0.0157186
1.0621 0.073798 0.0997719 0.619062 0.858945 0.00353311 0.0274875 -0.00155962 -0.0109612 0.00248476 -0.00108829 0.155548 -0.155875 0.046294
1.11555 0.0736565 0.0994595 0.619136 0.852398 -0.00783611 0.0364039 -0.00442897 -0.00264785 -0.00584613 0.00138593 -0.0357651 -0.0231435 0.00100187
1.33132 0.0714201 0.0971206 0.619482 0.826471 -0.00631786 0.0427875 -0.00629256 -0.0103648 -0.0108397 0.0016021 0.012576 0.0310717 -0.0181999
1.69416 0.069315 0.0972782 0.617667 0.784636 -0.938927 0.166344 -0.194844 -0.00580166 0.000434447 -0.00500162 -14.4904 1.79095 -2.88662
1.72983 0.050668 0.0995728 0.613815 0.780639 0.0535983 0.0345646 0.000611468 -0.522719 0.0643231 -0.107976 1.94205 -0.395446 0.356822
1.89844 0.0177432 0.0991763 0.605753 0.762022 -0.0763595 0.039658 -0.0217719 -0.195275 -0.00235181 -0.0478137 -0.0362883 -0.280825 0.0616597
2.26246 -0.0581482 0.0611091 0.596519 0.723328 -0.147388 -0.0840664 0.00325064 -0.208485 -0.104576 -0.0253687 0.0266936 -1.60189 0.585967
2.33097 -0.0723065 0.0464256 0.597531 0.716268 -0.0452184 0.0747799 -0.0414733 -0.206656 -0.214323 0.0147764 1.82663 1.22387 -0.176536
2.39797 -0.0779526 0.0375598 0.597728 0.709431 -0.157651 -0.0725815 -0.0124516 -0.0842664 -0.13232 0.00294804 -0.00881344 -1.0661 0.292005
2.66248 -0.100858 -0.0720301 0.618938 0.683069 -0.136716 -0.0568983 -0.0172494 -0.0865976 -0.414314 0.0801859 0.654777 1.18332 -0.203925
2.88305 -0.088104 -0.105846 0.626704 0.661837 -0.141015 -0.136413 -0.00278697 0.0578252 -0.153312 0.0352065 0.171924 0.0378315 -0.0246565
2.99824 -0.0791615 -0.123005 0.630432 0.651012 -0.159308 -0.109631 0.000495718 0.0776299 -0.148955 0.0323662 -0.287596 0.67789 -0.02119
3.16832 -0.0742775 -0.128729 0.635324 0.635352 0.0475049 -0.382235 0.0500649 0.0287158 -0.0336596 0.0287622 2.90653 -3.68393 0.687581
3.26629 -0.0435689 -0.167383 0.644741 0.626504 -0.107438 -0.165212 0.00727542 0.31346 -0.394563 0.0961223 -0.382057 0.761764 -0.212258
3.69827 0.0205449 -0.195675 0.646654 0.588933 -0.0181847 -0.185781 0.020295 0.148416 -0.0654911 0.0044297 0.208076 0.296336 0.110213
3.87235 0.0526874 -0.198095 0.650765 0.574437 0.0395156 -0.173833 0.0358209 0.184639 -0.0139041 0.0236158 0.543373 0.398583 0.269596
4.03413 0.0967795 -0.189913 0.661642 0.561286 0.0181155 -0.175797 0.0220096 0.272545 0.0505783 0.0672308 -0.607332 0.106432 -0.166941
