t x y z s fx fy fz
0 0.272844 -0.138818 0.648352 1 -2.96988e-05 7.3496e-05 -0.000174094
1.36907 0.269778 -0.131229 0.630377 0.499268 0.210842 -0.00550881 0.0385429
1.51037 0.265477 -0.131869 0.62919 0.464727 0.224764 -0.00575857 0.0409532
1.70022 0.263874 -0.13105 0.627286 0.422053 0.243333 -0.00576443 0.0443155
1.83427 0.264476 -0.130196 0.626329 0.394303 0.252994 -0.00445611 0.0445108
1.93283 0.263628 -0.12891 0.62462 0.37507 0.262354 -0.00375467 0.0460123
2.2358 0.264077 -0.122323 0.619628 0.321628 0.284771 0.00277667 0.0465844
2.66864 0.248537 -0.102589 0.606775 0.258215 0.288814 0.0347249 0.0382327
2.75881 0.242517 -0.092818 0.603157 0.246668 0.285951 0.0371996 0.031923
2.9359 0.221506 -0.0736071 0.587111 0.225472 0.2678 0.0588068 0.020604
3.03739 0.205473 -0.0609415 0.578852 0.214156 0.260616 0.064128 0.0170779
3.21471 0.178174 -0.0485247 0.571815 0.195731 0.238995 0.0777975 0.0112617
3.53794 0.115276 -0.0201525 0.557028 0.166125 0.189036 0.10427 0.000732564
3.82253 0.066228 -0.00303739 0.548847 0.14379 0.146393 0.11644 -0.0061508
3.9363 0.0438541 0.00117533 0.544375 0.135725 0.12978 0.121343 -0.00838439
5.33779 -0.17223 -0.0261382 0.551892 0.0666576 -0.0431652 0.0800533 0.00938735
5.50378 -0.18286 -0.0414505 0.55121 0.0612737 -0.0446328 0.0696628 0.00827647
5.63963 -0.1828 -0.0503174 0.5494 0.0571928 -0.045796 0.0643241 0.00949414
5.80456 -0.182949 -0.0538594 0.550432 0.0526016 -0.0447479 0.0529161 0.011482
6.11785 -0.187704 -0.0976234 0.556914 0.0448712 -0.0440711 0.0126544 0.0168841
6.37482 -0.182439 -0.106545 0.553444 0.0393863 -0.0364025 0.00583121 0.0136108
6.74136 -0.179754 -0.117347 0.550074 0.0327025 -0.0316235 -0.00427911 0.010813
7.10502 -0.179179 -0.123357 0.544099 0.0271927 -0.0280191 -0.00787139 0.0052986
7.30771 -0.17691 -0.122086 0.541037 0.0245353 -0.0250931 -0.0070744 0.00295611
7.74679 -0.177276 -0.123648 0.538827 0.0196355 -0.0231323 -0.00936702 0.00104087
7.97242 -0.175291 -0.124837 0.535593 0.0175115 -0.0257148 -0.00909958 -0.00727213
8.04042 -0.176114 -0.124807 0.533284 0.0169177 -0.0223359 -0.0098232 -0.00526855
8.5403 -0.178935 -0.120809 0.526802 0.0131279 -0.0230276 -0.00577773 -0.00871566
8.71173 -0.179678 -0.11986 0.526988 0.0120344 -0.0231468 -0.00557008 -0.00806532
8.84109 -0.180082 -0.11984 0.527654 0.0112698 -0.0171209 -0.00348057 -0.00572667
