t x y z s fx fy fz
0 0.254404 0.238 0.89935 1 -0.000861789 -0.00177423 0.000275672
0.368014 0.239713 0.207755 0.904049 0.6527 0.184148 0.0754268 0.0338456
0.568679 0.237507 0.204596 0.901765 0.51723 0.261109 0.117732 0.041284
1.2057 0.19068 0.148177 0.875605 0.247148 0.368741 0.145054 0.0369733
1.33717 0.187009 0.144144 0.873716 0.21221 0.386597 0.153859 0.0394672
1.5398 0.18113 0.138207 0.874395 0.167782 0.405463 0.161649 0.0439089
1.87069 0.158485 0.122107 0.864037 0.114328 0.409839 0.160453 0.0355367
2.40042 0.073577 0.0673773 0.84025 0.0618653 0.337249 0.114265 0.0151518
2.53645 0.0255783 0.043854 0.834235 0.0528395 0.289234 0.0919715 0.0103628
3.30474 -0.191257 -0.0502344 0.833886 0.021684 0.0957153 0.0140596 0.0169079
3.40589 -0.22022 -0.0596827 0.834914 0.0192848 0.0784038 0.0102196 0.0134294
3.53732 -0.235448 -0.0621127 0.825765 0.0165594 0.0684854 0.0103092 0.00394123
3.73748 -0.264759 -0.0684306 0.820635 0.01313 0.0359039 0.00385302 0.00147877
