t x y z s fx fy fz dx dy dz ddx ddy ddz
0 -0.115501 -0.103607 0.589163 1 -0.0268186 0.00601807 -0.0239556 0 0 0 -0.458251 0.102831 -0.40933
0.0661681 -0.117508 -0.103156 0.58737 0.989641 0.00731506 -0.00174098 0.00289968 -0.0303216 0.00680413 -0.0270846 0.224127 -0.041444 0.116268
0.298203 -0.112476 -0.103809 0.587346 0.954154 0.00499158 0.064435 -0.0848495 0.0216838 -0.00281232 -0.00010642 0.0823858 1.13706 -1.44206
0.367159 -0.110589 -0.0985962 0.580482 0.943855 -0.0204452 -0.0124826 0.0124531 0.0273647 0.075595 -0.0995447 -0.374775 -0.379773 0.484556
0.471562 -0.111818 -0.0948434 0.57537 0.928474 -0.00333115 0.00431331 -0.0115319 -0.0117629 0.0359456 -0.0489556 0.0259216 -0.0868108 0.0768773
0.830621 -0.112699 -0.0931287 0.567704 0.877462 -0.00746825 0.00379528 -0.0158997 -0.00245547 0.0047754 -0.0213521 0.047224 -0.0458283 0.0649843
0.998526 -0.11178 -0.0936189 0.565951 0.85458 -0.0120683 0.0023729 -0.0229251 0.00547368 -0.0029194 -0.0104409 -0.0183106 -0.0358687 -0.0534771
1.23527 -0.111511 -0.0963204 0.560482 0.823325 -0.0137527 -0.0105026 -0.0198137 0.00113875 -0.0114111 -0.0231014 0.0107762 -0.177436 0.0965111
1.53342 -0.110213 -0.115495 0.562173 0.785586 0.0269008 -0.142678 0.00711544 0.00435162 -0.0643129 0.00567293 0.745782 -2.00413 0.464484
1.59864 -0.106757 -0.128214 0.564519 0.777564 0.172437 -0.38275 0.0419064 0.0529909 -0.195021 0.0359661 3.11351 -5.68421 0.96848
1.66561 -0.0892419 -0.166773 0.571272 0.769411 -0.0225374 0.00989852 -0.0263877 0.261518 -0.57572 0.10083 -0.821435 2.27071 -0.417154
1.86521 -0.069769 -0.191221 0.574778 0.745618 0.0440697 -0.102614 -0.00753984 0.0975597 -0.122486 0.017566 0.277047 0.0879515 -0.0399198
2.13347 -0.0236614 -0.21775 0.576617 0.714795 0.0687879 -0.118897 -0.00471778 0.171879 -0.0988927 0.00685729 -0.146939 0.245993 -0.0225203
2.50196 0.0197222 -0.220789 0.576086 0.674522 0.394999 -0.0998515 -0.0225755 0.117733 -0.00824678 -0.00144123 4.84046 0.509682 -0.326485
2.56869 0.0491326 -0.219069 0.574536 0.667475 0.0465823 -0.130087 0.00908828 0.440737 0.0257643 -0.0232276 -2.09654 -0.0839611 0.270734
2.7048 0.0702801 -0.217118 0.576391 0.653329 0.195173 -0.0747947 -0.0158387 0.155364 0.0143359 0.0136236 0.542501 0.853681 -0.250432
2.83684 0.100251 -0.200342 0.573824 0.639893 0.197557 -0.0074433 -0.0292787 0.226994 0.127053 -0.0194424 -0.0143454 1.5539 -0.39255
2.93825 0.123124 -0.171477 0.567815 0.629761 0.191444 -0.0634222 -0.0126161 0.225539 0.284635 -0.0592512 -0.4893 -0.130411 0.0504964
3.10165 0.146912 -0.12845 0.559482 0.613773 0.219592 0.000114914 -0.0187713 0.145588 0.263326 -0.0510002 -0.264052 0.262484 0.0669323
3.23371 0.161534 -0.0890968 0.553914 0.601148 0.227315 0.0176985 -0.0289565 0.110717 0.297991 -0.0421609 -0.306073 -0.154684 -0.0319259
3.66555 0.152268 0.0107411 0.529753 0.561651 0.201217 0.106491 -0.0462393 -0.0214579 0.231192 -0.0559478 -0.32109 -0.216937 0.0864735
3.90124 0.129374 0.0531796 0.52137 0.5412 0.161718 0.14476 -0.0654448 -0.0971346 0.180063 -0.0355671 -0.452634 -0.197417 -0.140058
3.96961 0.120617 0.0645676 0.518284 0.535408 0.161148 0.154343 -0.0597595 -0.128081 0.166565 -0.0451429 -0.2551 -0.204055 0.0214991
4.03393 0.111323 0.0744375 0.515469 0.530015 0.153673 0.155042 -0.0630659 -0.14449 0.15344 -0.04376 -0.189295 -0.337374 0.0082299
4.20354 0.0813717 0.0907567 0.508284 0.516055 0.128934 0.174842 -0.0657086 -0.176596 0.0962192 -0.0423641 -0.0262166 -0.181821 0.0765773
4.73364 -0.01961 0.0906692 0.507346 0.474749 0.0335861 0.144932 -0.0514754 -0.190493 -0.000165197 -0.00176998 0.165098 -0.518597 0.252659
4.83826 -0.0377323 0.0849757 0.509926 0.466996 0.0103962 0.166022 -0.0588967 -0.173221 -0.0544208 0.0246632 0.0659641 0.026756 0.0374001
5.00189 -0.0643103 0.0767872 0.514963 0.455124 -0.0324572 0.144307 -0.0516404 -0.162427 -0.0500428 0.030783 -0.207416 -0.20373 0.0598987
5.10136 -0.0825177 0.0697943 0.518617 0.448055 -0.0279733 0.136247 -0.0538264 -0.183057 -0.0703064 0.0367407 0.224472 -0.186619 -0.0526126
5.34269 -0.113622 0.0419586 0.52442 0.431357 -0.0547946 0.0965198 -0.0441386 -0.128885 -0.115343 0.0240437 0.244694 -0.310676 0.0246458
5.73747 -0.126366 -0.0519983 0.537753 0.405372 -0.0456266 0.00944739 -0.0271873 -0.032283 -0.237994 0.0337735 0.517917 0.0104516 0.058312
5.96949 -0.105975 -0.106655 0.548728 0.390837 -0.0381425 -0.0275318 -0.01689 0.0878845 -0.235569 0.0473031 0.139694 0.31778 0.0186209
6.33833 -0.0545554 -0.150311 0.568709 0.368796 0.147242 -0.0109303 -0.0857758 0.139409 -0.118359 0.0541713 2.3894 1.18187 -1.52161
6.43758 -0.0171871 -0.150417 0.559099 0.363081 -0.0220521 -0.0248041 0.0585247 0.376538 -0.00106767 -0.0968361 -1.49405 0.770888 1.33614
6.50557 0.0015073 -0.146926 0.558691 0.359216 0.030607 -0.0602367 -0.0126675 0.274957 0.051345 -0.00599217 -0.751543 0.0280822 -0.0141793
6.63747 0.024699 -0.139665 0.557654 0.351837 0.0851463 -0.0453311 -0.0136887 0.17583 0.055049 -0.0078624 -0.0512213 0.157605 -0.0148228
7.20542 0.10804 -0.0575608 0.548407 0.321753 0.143096 0.246495 -0.0119386 0.146739 0.144561 -0.0162811 -0.38687 3.62291 0.170573
7.25897 0.114789 -0.0394294 0.548025 0.319053 0.0957605 -0.0879257 -0.116478 0.126021 0.338576 -0.00714657 -1.27452 -2.69602 -1.62449
