t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.0732334 -0.169681 0.983444 1 -0.00230206 -0.0127775 0.00425168 0 0 0 -0.0766563 -0.425478 0.141577
0.267893 0.067732 -0.200216 0.993605 0.921123 -0.033104 -0.0314025 0.00989892 -0.0205357 -0.113983 0.0379274 -0.117932 1.0311 -0.611627
0.400559 0.062932 -0.19719 0.987872 0.884397 -0.0429361 -0.0590445 0.0251488 -0.0361813 0.0228092 -0.0432148 0.105681 -0.0620573 0.100623
0.733485 0.0626 -0.196475 0.984638 0.798551 -0.0651226 -0.0810839 0.0368189 -0.000997224 0.00214869 -0.00971474 0.0785854 0.0259205 -0.0360922
0.933241 0.0655365 -0.195011 0.981257 0.751097 -0.078756 -0.0934547 0.0432257 0.0147007 0.00732646 -0.0169244 -0.0747034 -0.0166989 0.0165264
1.06769 0.0661626 -0.194328 0.97928 0.720755 -0.0857335 -0.100738 0.0464062 0.00465674 0.00508128 -0.0147024 -0.0133068 0.00187743 -0.00683266
1.7713 0.0628514 -0.189823 0.965553 0.580857 -0.12916 -0.132035 0.0578309 -0.00470603 0.00640225 -0.0195099 -0.0086572 0.083676 -0.0239712
1.93589 0.0618424 -0.186503 0.961692 0.552265 -0.137989 -0.141605 0.0595934 -0.00613086 0.0201739 -0.0234552 0.00344891 -0.1254 -0.00259225
2.16739 0.0606079 -0.188553 0.956124 0.514414 -0.145341 -0.154169 0.0633361 -0.00533243 -0.0088564 -0.0240553 0.152493 -0.0432961 0.0741426
2.36773 0.06566 -0.192065 0.95428 0.483758 -0.152831 -0.165779 0.0669044 0.0252176 -0.0175303 -0.00920172 -0.068501 -0.00707933 0.0196852
2.56932 0.0679598 -0.195887 0.953225 0.454754 -0.15584 -0.180351 0.071293 0.0114082 -0.0189574 -0.0052333 0.0679581 -0.0958814 0.00897093
3.13545 0.0961995 -0.23735 0.953138 0.38227 -0.145919 -0.244884 0.0830667 0.0498816 -0.0732391 -0.000154556 0.0234452 -0.0403206 -0.0614382
3.60502 0.124791 -0.280631 0.939519 0.330998 -0.122474 -0.301805 0.0762352 0.0608906 -0.0921722 -0.0290036 0.300315 0.0301963 -0.0679752
3.87225 0.162509 -0.303105 0.926914 0.304952 -0.0981101 -0.327766 0.0727383 0.141144 -0.0841028 -0.0471687 -0.139018 0.128 0.127625
4.2049 0.194078 -0.316918 0.925346 0.275374 -0.0703764 -0.340714 0.0610889 0.0948988 -0.0415226 -0.00471329 0.148523 0.300173 -0.518258
4.27595 0.20157 -0.318353 0.922395 0.269439 -0.0772932 -0.346636 0.0765754 0.10545 -0.0201972 -0.0415323 -0.307005 0.14143 0.168474
4.37169 0.208852 -0.31899 0.919963 0.261642 -0.0666343 -0.352899 0.0734907 0.0760556 -0.00665567 -0.0254014 -0.0338582 -0.0149867 0.0502661
4.60388 0.224685 -0.321344 0.916775 0.243658 -0.0520225 -0.35926 0.0731557 0.0681944 -0.0101353 -0.0137305 0.117601 0.0261849 -0.00119869
4.80347 0.242982 -0.322323 0.913987 0.22919 -0.0336993 -0.366198 0.074077 0.0916672 -0.00490886 -0.0139698 0.184324 -0.0556278 0.0331717
4.97182 0.263638 -0.324726 0.912575 0.217657 -0.0081658 -0.36114 0.0708149 0.122698 -0.0142736 -0.00838545 0.362537 0.326042 -0.116718
5.17001 0.302195 -0.314749 0.906329 0.204821 0.0184708 -0.35474 0.071153 0.194548 0.0503441 -0.0315177 -0.12797 0.131701 0.0917026
5.47503 0.34963 -0.287139 0.905247 0.186529 0.0463943 -0.335794 0.0738174 0.155514 0.0905161 -0.00354615 -0.489825 -0.109332 0.0195092
5.57168 0.360085 -0.279412 0.905086 0.181081 0.0603086 -0.330572 0.0739943 0.108173 0.0799493 -0.0016606 -0.182515 -0.111507 -0.00871096
5.7489 0.373523 -0.268745 0.904519 0.171502 0.0688274 -0.319767 0.0706082 0.0758268 0.0601874 -0.0032044 -0.160114 0.0394403 -0.157462
5.90681 0.381505 -0.258258 0.900086 0.163394 0.0846183 -0.296885 0.0693364 0.0505441 0.0664152 -0.0280683 0.251315 0.507686 -0.0285367
6.00591 0.388981 -0.246691 0.897025 0.158503 0.0820219 -0.295707 0.0664695 0.0754488 0.116725 -0.0308962 -0.112395 0.0565737 -0.0440104
6.50911 0.398487 -0.173629 0.870333 0.135835 0.0700416 -0.257575 0.0531664 0.0188907 0.145194 -0.0530425 -0.446739 -0.984293 0.326962
6.60788 0.395995 -0.16889 0.868284 0.131782 0.0628964 -0.213735 0.0400077 -0.025232 0.047979 -0.0207498 -0.432248 0.644308 -0.164323
6.83963 0.366933 -0.123167 0.85465 0.122741 0.0415235 -0.193113 0.0353346 -0.125404 0.197295 -0.0588312 0.206969 -0.553652 0.191322
7.04068 0.350086 -0.10588 0.850556 0.115401 0.0174862 -0.170842 0.0294792 -0.0837918 0.0859803 -0.0203647 -0.0875368 0.0108895 -0.0274729
7.19875 0.334654 -0.0920172 0.84665 0.109939 -0.0162767 -0.148036 0.0250903 -0.097629 0.0877016 -0.0247074 -0.605475 0.353434 -0.0645572
7.3725 0.299414 -0.0661105 0.840408 0.104235 -0.0316823 -0.14515 0.0225601 -0.202827 0.149109 -0.0359239 0.421834 -0.543916 0.0569968
7.60918 0.275039 -0.0612886 0.835099 0.0969362 -0.0866751 -0.130392 0.0317491 -0.102985 0.0203724 -0.0224336 -0.8266 0.237056 0.454277
7.69918 0.259074 -0.0575349 0.83676 0.0942971 -0.0889908 -0.134084 0.0201231 -0.177381 0.0417079 0.0184521 -0.125765 -0.0503379 -0.126325
7.84006 0.231589 -0.0526581 0.836852 0.0903096 -0.110274 -0.128454 0.0217633 -0.195099 0.0346163 0.000655589 0.170922 0.0322887 -0.0465493
