t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.282568 -0.229018 0.7735 1 -0.00117231 -0.00152263 0.00564104 0 0 0 -0.0608705 -0.0790606 0.292904
0.185641 0.28047 -0.231743 0.783594 0.915047 0.0263977 -0.0366017 0.018063 -0.0113001 -0.0146769 0.0543749 0.0462357 0.0390819 -0.148268
0.521605 0.281892 -0.232262 0.785127 0.77923 0.0707902 -0.083799 0.0228604 0.00423347 -0.00154678 0.00456232 -0.170177 0.320144 -0.242242
0.554417 0.281848 -0.231968 0.785016 0.767097 0.0776443 -0.0941136 0.0309718 -0.00135037 0.00895778 -0.00338613 0.00175704 -0.0324219 0.177414
0.653089 0.281732 -0.2314 0.786409 0.73174 0.0884997 -0.107651 0.0321317 -0.001177 0.00575864 0.0141196 -0.047767 -0.0299578 -0.0448201
0.835856 0.279921 -0.231348 0.787493 0.670497 0.107956 -0.131806 0.0374122 -0.00990722 0.00028335 0.00592801 0.0259284 -0.0143195 -0.0119781
1.15368 0.279392 -0.232705 0.788167 0.575951 0.13958 -0.169866 0.0441719 -0.00166642 -0.00426781 0.00212103 0.00354265 0.0263141 -0.0227694
1.49176 0.279233 -0.23114 0.786281 0.489969 0.168142 -0.202163 0.0521513 -0.00046872 0.00462843 -0.00557684 -0.0145712 -0.0223498 0.211937
1.55394 0.279148 -0.230939 0.786754 0.475614 0.17295 -0.207767 0.0500748 -0.00137471 0.00323879 0.0076008 -0.00735409 -0.0250259 -0.0339218
1.65381 0.278937 -0.230865 0.787175 0.453433 0.179774 -0.214977 0.0517809 -0.00210913 0.000739582 0.00421321 -0.0266263 0.0600585 -0.0322591
2.06394 0.273593 -0.220459 0.783476 0.372674 0.197061 -0.234337 0.0510109 -0.0130296 0.0253719 -0.00901746 -0.213274 0.0446349 -0.112989
2.16341 0.270187 -0.217494 0.781462 0.355363 0.189209 -0.238473 0.0507017 -0.0342422 0.0298113 -0.0202556 -0.648412 0.00785049 -0.0353173
2.25909 0.260974 -0.214569 0.7792 0.339468 0.171591 -0.1741 0.0391318 -0.0962863 0.0305625 -0.0236349 -1.0747 3.51868 -0.560856
2.28951 0.257051 -0.210385 0.777962 0.334566 0.190671 -0.234319 0.0488037 -0.128974 0.137586 -0.0406939 0.185787 -0.222613 0.0669777
2.76535 0.237747 -0.195321 0.773764 0.266472 0.198433 -0.250779 0.0502982 -0.0405689 0.0316577 -0.00882305 -0.0103578 0.0191159 -0.0335296
3.19186 0.21856 -0.178341 0.763901 0.217304 0.203462 -0.249027 0.0436775 -0.0449866 0.0398108 -0.0231237 0.40761 0.1918 0.0220778
3.25681 0.217357 -0.174946 0.762493 0.210657 0.194935 -0.253687 0.0427617 -0.0185099 0.0522694 -0.0216897 -0.211953 -0.148962 0.0168054
3.38938 0.211179 -0.170634 0.759913 0.197716 0.195513 -0.250076 0.0400573 -0.0466083 0.0325216 -0.0194618 0.0430482 0.169882 -0.0471517
3.55748 0.20456 -0.160368 0.755309 0.182444 0.193078 -0.246343 0.0370609 -0.0393722 0.0610775 -0.0273876 -0.0404612 0.00900663 0.0174733
4.15998 0.166151 -0.120299 0.745151 0.136771 0.168828 -0.2181 0.0328978 -0.0637503 0.066504 -0.0168599 0.00919409 0.299847 0.113462
4.22538 0.16202 -0.114666 0.744533 0.132559 0.165279 -0.220004 0.0304482 -0.0631489 0.0861152 -0.00943908 -0.0371118 -0.0967777 -0.0314824
