t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.252457 -0.211228 0.848111 1 0.000483319 0.00191623 -0.000131753 0 0 0 0.0261436 0.103652 -0.00712675
0.366701 0.255972 -0.19729 0.847153 0.833025 0.0589559 -0.0750085 0.00596202 0.00958688 0.0380095 -0.00261339 -0.0530502 -0.345994 0.086804
0.528407 0.256135 -0.200191 0.849 0.768546 0.0806213 -0.108454 0.00923654 0.00100835 -0.0179399 0.0114233 -0.00904775 0.0678084 -0.0198163
0.829776 0.255618 -0.199439 0.850643 0.661399 0.115732 -0.16242 0.0143934 -0.00171836 0.00249544 0.00545132 0.00273263 -0.007513 0.00653783
1.09596 0.255354 -0.199307 0.852557 0.579255 0.157073 -0.196219 0.0199593 -0.00099098 0.000495594 0.00719158 0.771126 0.453948 0.047965
1.13251 0.256348 -0.198683 0.852884 0.568803 0.143612 -0.210525 0.0193757 0.0271928 0.0170869 0.00894465 -0.335279 -0.142926 -0.0285556
1.23238 0.255719 -0.198402 0.853493 0.541195 0.156119 -0.222488 0.0204106 -0.00629053 0.00281332 0.00609288 0.040306 0.0325428 -0.0413231
1.3641 0.25559 -0.197467 0.853578 0.50682 0.16655 -0.238897 0.0215068 -0.000981381 0.00709988 0.000649758 -0.0329101 0.030748 -0.0221179
1.86422 0.246868 -0.186225 0.848371 0.395043 0.191877 -0.280667 0.0183854 -0.0174404 0.0224775 -0.0104118 -0.123489 0.201105 -0.0567264
2.03186 0.240474 -0.176805 0.845031 0.363389 0.195799 -0.286456 0.0150121 -0.0381424 0.0561914 -0.0199216 -0.0350399 0.0966932 -0.0694379
2.20265 0.232937 -0.164387 0.839603 0.333747 0.197412 -0.292255 0.014823 -0.0441271 0.0727061 -0.0317813 -0.0447279 -0.143247 0.218037
2.30018 0.228208 -0.158659 0.838578 0.317919 0.198183 -0.292316 0.0114445 -0.0484891 0.0587362 -0.0105176 -0.0110563 0.0518895 -0.0405568
2.60146 0.212596 -0.136253 0.831727 0.273608 0.199077 -0.293326 0.00603651 -0.0518201 0.0743696 -0.0227367 0.100323 -0.0566193 0.0169126
2.86427 0.205906 -0.120618 0.82692 0.24003 0.204978 -0.297575 0.000799953 -0.0254545 0.0594896 -0.018292 0.0494335 -0.125191 -0.0881759
2.96482 0.203846 -0.115902 0.824189 0.228302 0.203888 -0.295459 -0.000799965 -0.0204838 0.0469015 -0.0271582 -0.133249 0.121635 -0.00519184
3.2643 0.185761 -0.0909469 0.81559 0.196658 0.196569 -0.288151 -0.0072234 -0.0603893 0.083329 -0.0287131 0.0725884 -0.128113 0.0631256
3.66838 0.173211 -0.0781936 0.814295 0.160799 0.187881 -0.276996 -0.0102225 -0.0310581 0.0315615 -0.00320556 -0.50588 1.03435 -0.216908
3.73208 0.16918 -0.0719861 0.813211 0.155776 0.195066 -0.290944 -0.00765526 -0.0632828 0.0974498 -0.0170226 0.166325 -0.234833 0.0384294
3.83415 0.164453 -0.064486 0.811873 0.148053 0.19123 -0.283707 -0.00974918 -0.0463063 0.0734808 -0.0131002 -0.00669708 0.0819087 -0.0353687
4.06862 0.153227 -0.0427531 0.806857 0.13173 0.185848 -0.273604 -0.0137251 -0.0478767 0.0926866 -0.0213934 0.0231954 -0.18559 0.0316851
4.37597 0.140704 -0.0317974 0.803275 0.113027 0.175717 -0.266472 -0.0178355 -0.0407476 0.0356462 -0.0116551 -0.218479 0.404287 -0.0776245
4.56797 0.124826 -0.0100496 0.798176 0.102717 0.131878 -0.210564 -0.0227566 -0.0826956 0.113269 -0.026559 -1.71364 2.16365 -0.0144149
4.60021 0.120378 -0.00414816 0.797304 0.10108 0.156753 -0.241499 -0.0229296 -0.137948 0.183032 -0.0270238 0.110342 -0.120867 0.0226685
5.2141 0.0772767 0.0626629 0.789258 0.0744458 0.126311 -0.193707 -0.0284806 -0.0702114 0.108833 -0.013108 -0.0119665 -0.0490664 0.0424585
5.53734 0.0533313 0.0927154 0.789457 0.0633727 0.113945 -0.181442 -0.029563 -0.0740795 0.0929732 0.000616291 0.433756 -0.626207 -0.11317
5.63639 0.0502494 0.0957806 0.788407 0.0603211 0.0912407 -0.152915 -0.0259121 -0.0311134 0.0309436 -0.0105938 -0.890438 1.13617 0.189824
5.74613 0.0361115 0.112859 0.789531 0.0571117 0.0813182 -0.107994 -0.0202301 -0.12883 0.155627 0.0102375 -0.24743 2.12833 0.329853
5.80026 0.0284138 0.127517 0.791051 0.0555923 0.0792895 -0.128274 -0.0237499 -0.142222 0.270823 0.0280908 0.0966649 -0.276551 -0.0318929
6.4078 -0.0223126 0.189977 0.796346 0.0410735 0.035799 -0.081285 -0.0180263 -0.083494 0.102806 0.00871442 -0.0574051 0.103754 0.0589727
6.50819 -0.0312729 0.201343 0.797815 0.0390698 0.0308875 -0.0564307 -0.0139481 -0.0892568 0.113222 0.0146346 0.153413 0.838752 0.167856
6.56816 -0.0360743 0.21115 0.799296 0.0379196 0.0289321 -0.0823678 -0.0138812 -0.0800558 0.163526 0.0247017 0.24214 -1.30609 0.0405632
6.64852 -0.0409438 0.215857 0.801543 0.0364315 0.0272386 -0.0681286 -0.0142259 -0.0605979 0.0585711 0.0279613 0.293015 -0.241242 -0.118065
6.80796 -0.0431567 0.219063 0.803 0.0336496 0.0220244 -0.0592094 -0.0115756 -0.0138791 0.020107 0.00913683 -0.14544 0.331357 0.0325681
7.20511 -0.0716081 0.279311 0.811765 0.027609 -0.00371616 -0.00265691 -0.00329127 -0.0716398 0.151704 0.0220711 0.171919 -0.337048 -0.0668944
7.57225 -0.0747368 0.289577 0.810852 0.0229939 -0.00195894 0.00130605 -0.00437038 -0.00852174 0.0279603 -0.00248838 0.0477621 0.04923 0.0346768
7.70906 -0.0750086 0.294323 0.811161 0.0214789 -0.0014834 0.00163232 -0.00459432 -0.00198718 0.0346957 0.00225591 0.0293047 -0.180291 -0.0198084
7.84174 -0.0747564 0.295753 0.811111 0.020105 -0.00177754 0.00280184 -0.0041614 0.00190089 0.0107753 -0.000372214 -0.0437881 -0.0403775 0.0165257
8.07195 -0.0766395 0.296094 0.811901 0.0179264 -0.00210993 0.00172254 -0.00345008 -0.0081796 0.00147992 0.00343218 0.0496457 -0.0115569 -0.0100599
8.2721 -0.0762878 0.295927 0.812185 0.0162251 -0.00163542 0.000553069 -0.00287104 0.0017569 -0.00083318 0.00141871 -0.022405 -0.00723406 0.0125847
8.53704 -0.0773951 0.295199 0.813444 0.0142188 -0.00131686 -0.000342712 -0.00172823 -0.00417913 -0.00274979 0.00475295 0.047324 0.0488554 -0.0134523
8.60445 -0.0774617 0.295235 0.813704 0.0137493 -0.00166833 -0.00117127 -0.00158804 -0.000989205 0.000543357 0.00384618 0.00803387 -0.000802206 -0.0163501
8.77215 -0.0774017 0.295304 0.813889 0.0126472 -0.00161346 -0.00202059 -0.00222215 0.000358066 0.000408828 0.00110429 -0.0186012 -0.0191162 -0.0493826
8.90426 -0.0776791 0.295024 0.813173 0.0118416 -0.00180658 -0.00110802 -0.00201308 -0.00209943 -0.0021167 -0.00541989 -0.0166559 0.0800236 0.0307751
