t x y z s fx fy fz
0 0.0636982 0.0501355 0.582108 1 -0.00242687 -0.0018842 0.00190626
0.399483 0.0384677 0.0305467 0.601926 0.786868 -0.0267741 -0.0366065 0.0507829
0.670867 0.0371917 0.0316222 0.601926 0.668628 -0.0260111 -0.0427413 0.0645614
0.936614 0.0344407 0.0313782 0.597951 0.57008 -0.029055 -0.0511129 0.0744039
1.10261 0.0318545 0.0298865 0.596775 0.516037 -0.0317376 -0.0566989 0.0810406
1.33519 0.0271211 0.0272478 0.596531 0.448821 -0.0370689 -0.0643219 0.0896785
1.59926 0.0183946 0.0242522 0.593935 0.383056 -0.0538976 -0.0747565 0.095861
1.8989 -0.0380141 0.00555065 0.591 0.320023 -0.112714 -0.0933411 0.0952585
2.0014 -0.0550605 0.00373274 0.585654 0.300934 -0.125313 -0.0981351 0.0963591
2.73504 0.0227833 0.0299371 0.591726 0.193775 -0.0658954 -0.0884308 0.116085
2.9374 -0.0557666 0.00434061 0.579433 0.171619 -0.244791 -0.0420942 0.0370437
3.03531 -0.152289 0.0392658 0.530486 0.161828 -0.238939 -0.0641014 0.0440567
3.33523 -0.0841511 0.00753182 0.527251 0.135176 0.199037 0.0168843 0.217867
3.40519 0.0348272 0.0423337 0.575807 0.129619 0.0867195 -0.0388296 0.159743
4.10691 -0.0481197 0.0162522 0.555123 0.0850771 -0.109779 -0.102249 0.0997063
4.5352 0.0109716 0.0248591 0.583185 0.0657973 -0.0386912 -0.09024 0.13391
5.07538 0.0511421 0.0689172 0.588088 0.0475827 -0.0221628 -0.0838552 0.0753756
5.10286 0.0522102 0.0691864 0.585263 0.0468046 -0.00506953 -0.0503399 0.126816
6.00699 0.0537095 0.058517 0.581086 0.0272074 -0.0482183 -0.0791428 0.123792
6.20373 -0.0519269 0.0180436 0.558342 0.0241781 -0.13622 -0.112443 0.103604
6.54069 -0.0570139 0.019801 0.54458 0.0197522 -0.119102 -0.101147 0.0946122
7.13862 -0.0826869 0.0370195 0.540642 0.0137977 -0.118024 -0.088918 0.0959145
7.30677 -0.0374038 0.0307058 0.543654 0.0124735 -0.0641201 -0.0788714 0.0958248
7.57115 0.0756522 0.0951594 0.533642 0.0106438 -0.0315076 -0.00152331 -0.0366782
