t x y z s fx fy fz
0 0.237345 0.181756 0.7625 1 -0.00159051 -0.00764421 -0.000752136
0.0685222 0.236895 0.179596 0.762288 0.962736 0.00748412 -0.00316707 -4.67192e-05
0.150947 0.237811 0.179375 0.762889 0.919746 0.0142068 -0.0088288 -6.12528e-06
0.234375 0.239604 0.18016 0.76455 0.878188 0.0189692 -0.0141746 -0.00177566
0.700891 0.231025 0.180088 0.771188 0.678111 0.0351891 -0.0363073 -0.00451261
1.20057 0.22668 0.179072 0.775407 0.514082 0.0525028 -0.051994 -0.0133784
1.23574 0.226321 0.179227 0.775296 0.504159 0.0537053 -0.0550616 -0.00920781
1.42251 0.22371 0.180711 0.775286 0.454581 0.057222 -0.0592456 -0.0114721
1.9683 0.207698 0.178841 0.774256 0.335927 0.0535046 -0.0752362 -0.0185641
2.60474 0.12596 0.159378 0.756221 0.23608 -0.0224063 -0.10814 -0.0425955
3.43544 -0.0298627 0.0924444 0.73721 0.148975 -0.160641 -0.185791 -0.0644989
3.57179 -0.0441348 0.083815 0.734753 0.138133 -0.197771 -0.208999 -0.064468
3.71585 -0.086202 0.0586471 0.736062 0.127533 -0.230432 -0.232933 -0.0637092
4.17247 -0.180136 -0.0275952 0.748025 0.0990187 -0.314852 -0.321882 -0.052129
8.14086 0.086233 0.270704 0.827643 0.0109788 -0.00956146 -0.00715252 0.00891826
