t x y z s fx fy fz
0 0.0156484 0.0389075 0.502945 1 -0.0049165 -0.0103333 0.00477235
0.138313 0.00474048 0.0159815 0.513533 0.862655 -0.0146647 -0.0368373 -0.0110308
0.63876 0.0308717 0.0430241 0.589597 0.505454 0.0203539 -0.0046377 -0.00447742
0.881297 0.0211644 0.0340034 0.643215 0.390094 0.00357655 -0.0167884 0.0362536
1.10423 -0.00488506 0.0499158 0.740859 0.307434 -0.0175007 0.000129891 0.0902384
1.37407 0.0332293 0.0457276 0.548642 0.230447 0.0242888 -0.00823069 -0.121665
1.56987 0.00866918 0.0535086 0.68984 0.186958 -0.00834674 -0.000176546 0.0556025
2.00189 0.0346532 0.0419704 0.577354 0.11785 -0.0106504 -0.00648176 0.0910587
2.06968 0.0165003 0.0461807 0.682897 0.109618 -0.0118989 -0.00678003 0.101053
2.60605 0.0218777 0.0466503 0.677871 0.0618106 0.00657344 -0.00305199 -0.00920461
2.73561 0.00829032 0.0637983 0.715658 0.0538221 0.0165441 -0.0222832 -0.0950838
2.77291 0.00859482 0.0624057 0.705747 0.0517196 0.000943002 0.00106576 -0.0249928
3.17023 0.0135928 0.061139 0.627333 0.0338329 0.00751947 0.0037634 -0.0806712
3.37407 0.0216696 0.0702505 0.69303 0.0272133 0.0164739 0.0142676 0.00332128
4.10259 0.0230066 0.0581017 0.634413 0.0124975 0.0119606 -0.00192251 -0.069544
