t x y z s fx fy fz
0 0.158165 0.19724 0.769111 1 0.0100753 0.000753591 0.00279084
0.064127 0.160201 0.197392 0.769675 0.971397 0.00833244 0.00139911 0.0127505
0.1319 0.160623 0.195126 0.771899 0.942057 0.0256664 0.0197319 0.0126222
0.900413 0.169032 0.197161 0.751185 0.665333 0.140546 0.137893 0.0311328
1.06539 0.168953 0.197338 0.750049 0.61747 0.159892 0.15812 0.0366112
1.23161 0.169458 0.197884 0.749296 0.572726 0.177626 0.176942 0.0423006
1.56792 0.170196 0.198479 0.747605 0.491871 0.20968 0.210809 0.0526801
1.96968 0.170345 0.19913 0.747556 0.410102 0.240698 0.245166 0.0626143
2.0379 0.170176 0.199243 0.747049 0.397636 0.24688 0.25029 0.0668108
2.1693 0.170621 0.19936 0.747222 0.37468 0.255785 0.259809 0.0697385
2.47829 0.17129 0.199127 0.747469 0.325787 0.278278 0.269532 0.0790257
2.76798 0.183646 0.15703 0.755513 0.285759 0.305344 0.243877 0.0942444
3.01449 0.189301 0.129326 0.764741 0.255595 0.324427 0.226217 0.110327
3.20456 0.196921 0.103323 0.776066 0.234529 0.338775 0.207315 0.122162
3.43604 0.203148 0.0663593 0.784111 0.211205 0.347172 0.136346 0.139448
3.54156 0.202224 0.0256671 0.790986 0.201357 0.335193 0.220539 0.110704
3.60059 0.198527 0.0195881 0.789025 0.196049 0.350765 0.150081 0.134151
3.8698 0.193957 0.0118223 0.778351 0.173562 0.331893 0.0900316 0.133738
4.00346 0.170907 -0.0469592 0.779247 0.163376 0.331733 0.0887052 0.130326
4.23596 0.155141 -0.0763434 0.773138 0.147059 0.325388 0.0719569 0.127661
4.40435 0.147733 -0.0902208 0.770272 0.13627 0.320834 0.0625086 0.125351
4.63606 0.135975 -0.105719 0.764395 0.122704 0.312062 0.0486278 0.122763
4.83625 0.121335 -0.126981 0.761909 0.112077 0.301916 0.0349117 0.12149
5.07665 0.104006 -0.14489 0.7584 0.100524 0.288445 0.0235832 0.119508
5.23921 0.0914582 -0.154835 0.755827 0.0933944 0.263055 -0.0107775 0.129698
5.306 0.0828415 -0.164812 0.757329 0.090614 0.273747 0.00889455 0.119256
5.51012 0.0709742 -0.175827 0.753521 0.0826187 0.258302 -0.00590287 0.117508
5.77216 0.0356364 -0.210541 0.750206 0.0733802 0.229321 -0.0312206 0.115194
6.03577 0.0126124 -0.223224 0.745431 0.0651283 0.209167 -0.0375946 0.11228
6.13565 0.00343885 -0.22711 0.743974 0.0622503 0.209601 -0.0380059 0.113284
6.27157 -0.00180925 -0.229366 0.74421 0.0585366 0.196934 -0.0419821 0.113145
6.77336 -0.0911088 -0.26127 0.745889 0.0466455 0.103452 -0.0691764 0.110857
6.90424 -0.116079 -0.267819 0.741457 0.043963 0.0829893 -0.0737463 0.108134
7.44102 -0.181431 -0.269645 0.707117 0.034482 0.0280935 -0.0601777 0.0779005
7.50391 -0.188464 -0.268093 0.703923 0.0335144 0.0216504 -0.0641534 0.0713311
7.71269 -0.206372 -0.261557 0.692405 0.0304929 0.00849599 -0.0553743 0.056133
7.87186 -0.215309 -0.255266 0.678449 0.0283737 -0.00107937 -0.0489193 0.047316
8.04546 -0.225535 -0.248987 0.668528 0.0262301 -0.00952341 -0.0397117 0.0375013
8.24156 -0.23544 -0.238205 0.658532 0.0240026 -0.0145698 -0.0280863 0.02619
8.50832 -0.234533 -0.222857 0.639506 0.0212732 -0.00703229 -0.0148626 0.00689484
8.64041 -0.229917 -0.218071 0.629741 0.0200388 -0.0138915 -0.00905596 0.00720983
8.70824 -0.229788 -0.21581 0.626926 0.0194331 -0.00688345 -0.00748609 -0.000352508
8.976 -0.230395 -0.212337 0.62284 0.0172154 -0.00715083 -0.00394549 -0.00283642
9.27781 -0.233167 -0.210985 0.622375 0.0150176 -0.00842791 -0.00269197 -0.00188098
9.40821 -0.233702 -0.211084 0.62284 0.0141571 -0.00746145 -0.000344729 -0.00484157
9.60811 -0.231566 -0.207814 0.617247 0.0129326 -0.00431462 0.000588058 -0.00741269
9.74041 -0.229535 -0.207912 0.615654 0.012181 -0.00454002 0.00020285 -0.00620788
9.94732 -0.231088 -0.211636 0.620975 0.0110923 -0.00461179 -0.00258506 -0.00267415
