t x y z s fx fy fz dx dy dz ddx ddy ddz
0 0.309958 0.190507 0.824358 1 -0.00451199 0.000495511 0.00199826 0 0 0 -0.313001 0.0343741 0.138621
0.176982 0.300154 0.191584 0.8287 0.89308 0.0409467 0.054411 0.00200002 -0.0553956 0.0060836 0.0245335 0.362206 -0.162035 -0.306473
0.297658 0.298743 0.189959 0.827198 0.826808 0.0695021 0.0875035 0.00179866 -0.0116861 -0.0134701 -0.0124505 -0.000966228 -0.00259325 0.0183533
0.665679 0.294312 0.18465 0.825101 0.653559 0.147214 0.171623 0.000648217 -0.0120417 -0.0144245 -0.00569607 0.0248989 0.0105823 0.0553673
0.835238 0.292986 0.182508 0.825727 0.586455 0.177811 0.204552 0.000646904 -0.00781987 -0.0126302 0.00369196 0.0152565 0.0322465 -0.0412451
1.06561 0.291994 0.18131 0.824389 0.506187 0.215265 0.244964 -0.00468735 -0.00430523 -0.00520153 -0.00580968 0.0312875 0.0017939 -0.253321
1.13403 0.291846 0.180963 0.822806 0.484535 0.222722 0.253574 -0.00430268 -0.00216456 -0.0050788 -0.0231417 -0.163612 -0.151947 -0.00759486
1.33438 0.284845 0.173846 0.817864 0.426315 0.242766 0.275603 -0.00862172 -0.0349445 -0.0355217 -0.0246633 0.00900648 -0.0235385 0.0494897
1.50301 0.279208 0.167186 0.815113 0.38277 0.257211 0.28937 -0.0108286 -0.0334257 -0.0394911 -0.0163177 -0.0336299 -0.139349 0.0388452
1.63393 0.274255 0.159628 0.813642 0.352054 0.266588 0.297676 -0.0122243 -0.0378286 -0.0577349 -0.0112321 -0.0183916 -0.0241983 0.0148426
2.00228 0.257826 0.135078 0.811519 0.278227 0.285367 0.312203 -0.0132418 -0.0446031 -0.0666483 -0.00576486 0.0479088 0.101375 0.063315
2.10121 0.253882 0.129476 0.811568 0.261184 0.284864 0.308016 -0.0140458 -0.0398632 -0.0566187 0.000499203 -0.301061 -0.472305 -0.0334458
2.23488 0.243175 0.113469 0.811037 0.239803 0.283835 0.304132 -0.0159715 -0.0801058 -0.119751 -0.00397147 -0.0802264 -0.00428775 -0.10082
2.40271 0.227471 0.0932512 0.807531 0.21542 0.278702 0.296373 -0.0201999 -0.0935698 -0.120471 -0.0208918 -0.0620783 -0.00759825 -0.0440649
2.63599 0.202265 0.0647343 0.800259 0.18559 0.27288 0.29008 -0.025793 -0.108051 -0.122243 -0.0311712 0.395415 0.47816 0.138451
2.72721 0.195699 0.0575622 0.798568 0.175083 0.249043 0.262194 -0.0319586 -0.0719829 -0.0786271 -0.0185422 -1.37064 -1.60525 -0.249486
2.80269 0.182456 0.0424812 0.795747 0.166839 0.264377 0.279948 -0.0298133 -0.175442 -0.199795 -0.0373739 0.983643 1.12957 0.212511
2.91768 0.175289 0.0344432 0.794259 0.15502 0.256632 0.270506 -0.0318032 -0.062326 -0.0698981 -0.0129358 -0.145373 -0.196566 0.0269402
