t x y z s fx fy fz
0 0.0531067 0.148826 0.441987 1 -0.0301414 -0.0312866 0.0253775
0.233022 -0.0569142 0.0346246 0.534619 0.86565 -0.134773 -0.144803 0.115951
0.76203 0.0249532 0.0381326 0.553531 0.623873 -0.0219905 -0.113737 0.109127
1.27198 -0.0229783 0.0138879 0.574593 0.454961 -0.0593776 -0.128795 0.120995
1.47393 0.028571 0.0409591 0.563925 0.401487 -0.0697103 -0.128247 0.109691
1.63044 -0.0423599 0.0140246 0.558407 0.364406 -0.10494 -0.142768 0.108375
1.89826 -0.0105256 0.0204997 0.572444 0.308726 -0.0477155 -0.122611 0.12256
2.10054 0.0301914 0.0455602 0.577632 0.272384 -0.0141679 -0.101441 0.125673
2.49802 0.0205714 0.0387518 0.57624 0.212962 -0.037075 -0.116796 0.122842
2.76933 0.00662852 0.029721 0.580192 0.180031 -0.100115 -0.127041 0.105438
2.90449 -0.059403 0.0246398 0.55579 0.165579 -0.12003 -0.119206 0.247496
3.10002 -0.0595422 0.0504593 0.938526 0.1467 0.0251631 -0.101066 -0.165207
3.20121 0.0359604 0.0570455 0.569557 0.13779 -0.0278608 -0.105819 0.0567723
3.40145 -0.028848 0.0292586 0.563329 0.121724 -0.138233 -0.0736366 0.0636489
3.46788 -0.0581627 0.038772 0.548975 0.116819 -0.133089 -0.105914 0.116484
3.87065 -0.0325888 0.0545803 0.924193 0.0910356 -0.0787029 -0.0984428 0.482954
4.2657 0.0169879 0.0413762 0.572383 0.0712831 -0.0342693 -0.113428 0.0986131
4.46968 0.0192822 0.0404064 0.564525 0.0628256 -0.0446496 -0.115786 0.101889
4.76815 -0.0419058 0.0281158 0.536203 0.0522252 0.486322 -0.051228 0.250124
4.80419 0.00314835 0.0334714 0.548405 0.0510729 -0.0773338 -0.107583 0.0912113
4.90198 0.0366072 0.0477925 0.561642 0.0480722 -0.0181345 -0.108013 0.108742
5.10205 0.0211941 0.0370736 0.566123 0.0424714 -0.0375373 -0.119922 0.110016
5.60273 0.0220825 0.0415817 0.553459 0.0311506 -0.0704317 -0.121175 0.0913063
5.80193 -0.0801944 0.0182039 0.540358 0.0275363 -0.162035 -0.141998 0.0797987
6.37373 0.0280569 0.0486739 0.552136 0.0193265 -0.221968 -0.192252 0.0506461
6.41008 0.0160356 0.0424806 0.548772 0.0188963 -0.0766279 -0.120544 0.0775502
6.50436 -0.0204411 0.0302469 0.536531 0.0178249 -0.210043 -0.0884066 0.0369109
6.56971 -0.0746626 0.0353033 0.519164 0.0171181 -0.181605 -0.10918 0.0533428
7.28391 0.0692492 0.186471 0.844772 0.0110005 0.00417268 0.0105452 0.141369
