t x y z s fx fy fz
0 0.13565 0.271374 0.896946 1 0.0180426 -0.016677 0.00758747
0.201272 0.240849 0.174138 0.941185 0.765818 0.252875 -0.0366154 0.0691894
0.436079 0.251202 0.174632 0.937169 0.560976 0.331674 0.0690755 0.0606186
0.768001 0.209098 0.141911 0.9135 0.361288 0.376184 0.106107 0.0439785
1.47364 0.133199 0.0978321 0.881338 0.141779 0.409153 0.147798 0.0260032
1.67054 0.108981 0.0801 0.875763 0.109207 0.398955 0.142977 0.0240357
1.73561 0.100276 0.0754351 0.874506 0.100182 0.395458 0.140664 0.0212152
1.80365 0.0915637 0.0700384 0.871938 0.091541 0.391613 0.13918 0.0193985
2.00342 0.0699655 0.0571514 0.864765 0.070244 0.375541 0.131579 0.0140764
2.20362 0.0135387 0.0231238 0.861222 0.0538705 0.317277 0.0980569 0.0127688
2.61231 -0.110647 -0.0458067 0.863099 0.0313376 0.20846 0.042542 0.0162618
2.73573 -0.135237 -0.0562925 0.861074 0.0266077 0.186967 0.0358387 0.0148556
3.009 -0.218666 -0.0881007 0.868049 0.0185219 0.0970276 0.00687226 0.0230125
3.07336 -0.240517 -0.0945398 0.868543 0.0170072 0.0774518 0.00174495 0.022739
